2021-03-01 11:21:36.646 [main] INFO  top.anets.EinvoiceApplication - Starting EinvoiceApplication on WIN-3DFGP6SS4I1 with PID 13296 (D:\eclipse-sts\workspace\tmooc\E-invoice\target\classes started by Administrator in D:\eclipse-sts\workspace\tmooc\E-invoice)
MODULE      nixxi.cpp
LINE        3283
DETAIL      NiPConnect2: 192.168.200.61:3300
SYSTEM CALL connect
ERRNO       10060
ERRNO TEXT  WSAETIMEDOUT: Connection timed out
COUNTER     2

2021-03-01 14:20:46.431 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-01 14:20:47.586 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2021-03-01 14:20:47.780 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-2000"]
2021-03-01 14:20:47.839 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 2000 (http) with context path ''
2021-03-01 14:20:47.846 [main] INFO  top.anets.EinvoiceApplication - Started EinvoiceApplication in 28.983 seconds (JVM running for 31.947)
2021-03-01 14:20:58.140 [http-nio-2000-exec-9] INFO  org.apache.tomcat.util.http.parser.Cookie - A cookie header was received [1614225406,1614320687,1614569111; Hm_lpvt_7174bade1219f9cc272e7978f9523fc8=1614579652] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
2021-03-01 14:20:58.170 [http-nio-2000-exec-9] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-03-01 14:20:58.171 [http-nio-2000-exec-9] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-03-01 14:20:58.181 [http-nio-2000-exec-9] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 10 ms
2021-03-01 14:20:58.503 [http-nio-2000-exec-9] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2021-03-01 14:21:15.144 [http-nio-2000-exec-5] INFO  top.anets.service.impl.InvoiceViewServiceImpl - 整单红冲:0000009283
2021-03-01 14:21:15.200 [http-nio-2000-exec-5] INFO  top.anets.utils.GuoXin - 请求xml内容:<REQUEST_COMMON_FPKSHC class="REQUEST_COMMON_FPKSHC"><FPQQLSH>0000009283101</FPQQLSH><XSF_MC>百旺电子测试2</XSF_MC><XSF_NSRSBH>110109500321655</XSF_NSRSBH><YFP_DM>050003521107</YFP_DM><YFP_HM>35687063</YFP_HM></REQUEST_COMMON_FPKSHC>
2021-03-01 14:21:15.204 [http-nio-2000-exec-5] INFO  top.anets.utils.GuoXin - 秘钥:5EE6C2C11DD421F2
2021-03-01 14:21:15.205 [http-nio-2000-exec-5] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 请求报文:<?xml version='1.0' encoding='UTF-8'?> <interface xmlns="" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:schemaLocation="http://www.chinatax.gov.cn/tirip/dataspec/interfaces.xsd" version="DZFPQZ0.2"> <globalInfo> <appId>6d29f136114544bcc73edcce960c430231183cc192c433e2b9ebcad56e8ceb08</appId> <interfaceId></interfaceId><interfaceCode>DFXJ1008</interfaceCode> <requestCode>DZFPQZ</requestCode> <requestTime>2021-03-01 14:21:15</requestTime> <responseCode>DS</responseCode> <dataExchangeId>DZFPQZDFXJ10082021030177037efb-</dataExchangeId> </globalInfo> <returnStateInfo> <returnCode></returnCode> <returnMessage></returnMessage> </returnStateInfo> <Data><dataDescription> <zipCode>0</zipCode> </dataDescription> <content>PFJFUVVFU1RfQ09NTU9OX0ZQS1NIQyBjbGFzcz0iUkVRVUVTVF9DT01NT05fRlBLU0hDIj48RlBRUUxTSD4wMDAwMDA5MjgzMTAxPC9GUFFRTFNIPjxYU0ZfTUM+55m+5pe655S15a2Q5rWL6K+VMjwvWFNGX01DPjxYU0ZfTlNSU0JIPjExMDEwOTUwMDMyMTY1NTwvWFNGX05TUlNCSD48WUZQX0RNPjA1MDAwMzUyMTEwNzwvWUZQX0RNPjxZRlBfSE0+MzU2ODcwNjM8L1lGUF9ITT48L1JFUVVFU1RfQ09NTU9OX0ZQS1NIQz4=</content> <contentKey>4qH14G2qs3BsYt8AlJjn4L2B4xqvmSJilLdQWJfiJOhU4pYCt+SUydvtom101qqc</contentKey> </Data> </interface>
2021-03-01 14:21:15.205 [http-nio-2000-exec-5] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书地址-----:F:/zhys/zhengshu/testISSUE.pfx
2021-03-01 14:21:15.205 [http-nio-2000-exec-5] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书密码-----:123456
2021-03-01 14:21:15.205 [http-nio-2000-exec-5] INFO  top.anets.utils.guoXin.RequestUtils - http请求开始，请求地址：https://dev.fapiao.com:18944/fpt-dsqz/invoice
2021-03-01 14:21:15.327 [http-nio-2000-exec-5] INFO  top.anets.utils.guoXin.RequestUtils - 证书地址:F:/zhys/zhengshu/testISSUE.pfx
2021-03-01 14:21:15.327 [http-nio-2000-exec-5] INFO  top.anets.utils.guoXin.RequestUtils - 证书密码:123456
2021-03-01 14:21:17.688 [http-nio-2000-exec-5] INFO  top.anets.utils.guoXin.RequestUtils - 请求结果:<?xml version='1.0' encoding='UTF-8'?><interface xmlns="" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:schemaLocation="http://www.chinatax.gov.cn/tirip/dataspec/interfaces.xsd" version="DZFPQZ1.0"> <globalInfo><appId>0</appId><interfaceId></interfaceId><interfaceCode>DFXJ1008</interfaceCode><requestCode>DZFPQZ</requestCode><requestTime>2021-03-01 14:21:17:86</requestTime><responseCode>1</responseCode><dataExchangeId>DZFPQZDFXJ10082021030177037efb-</dataExchangeId></globalInfo><returnStateInfo><returnCode>0000</returnCode><returnMessage><![CDATA[此发票已经开具过]]></returnMessage></returnStateInfo><Data><dataDescription><zipCode>0</zipCode></dataDescription><content>PFJFU1BPTlNFPjxGUFFRTFNIPjAwMDAwMDkyODMxMDE8L0ZQUVFMU0g+PEZQX0RNPjA1MDAwMzUyMTEwNzwvRlBfRE0+PEZQX0hNPjM1Njg3MDYzPC9GUF9ITT48SllNPjE2NDAxODQ4NDgxMTc2NzUxMTEwPC9KWU0+PEtQUlE+MjAyMTAxMTEyMzEwMDU8L0tQUlE+PFBERl9VUkw+PCFbQ0RBVEFbaHR0cDovL2Rldi5mYXBpYW8uY29tOjE5MDgwL2R6ZnAtd2ViL3BkZi9kb3dubG9hZD9yZXF1ZXN0PWU1dWhmOFdFVElPTWdhYTJjQ1VNdHFING1nYTdhN1k2N0FReGppWk9PV1FNTnFTQkE0cUxtUHFvcFZzRDJDc3VOWkRGQm9VdjBvMF8lNUViR2VnSGNBSmJdXT48L1BERl9VUkw+PFNQX1VSTD48IVtDREFUQVtodHRwczovL3Rlc3R3eC5mYXBpYW8uY29tL2ZwdC13ZWNoYXQvd3hhZGRjYXJkLmRvP2NvZGU9JTJCYVVzJTJGaURkNGxaejJTRXNEdkolMkJiTWdNOHN5elVlek9HSlJUSHRzUUM2SmE2UjA2emY4N3Y4emFobTBoeTBsUWozR05pbGswNkdCSSUwQWdNU2R6bzROQkElM0QlM0RdXT48L1NQX1VSTD48L1JFU1BPTlNFPg==</content></Data></interface>
2021-03-01 14:21:17.688 [http-nio-2000-exec-5] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 返回结果:<?xml version='1.0' encoding='UTF-8'?><interface xmlns="" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:schemaLocation="http://www.chinatax.gov.cn/tirip/dataspec/interfaces.xsd" version="DZFPQZ1.0"> <globalInfo><appId>0</appId><interfaceId></interfaceId><interfaceCode>DFXJ1008</interfaceCode><requestCode>DZFPQZ</requestCode><requestTime>2021-03-01 14:21:17:86</requestTime><responseCode>1</responseCode><dataExchangeId>DZFPQZDFXJ10082021030177037efb-</dataExchangeId></globalInfo><returnStateInfo><returnCode>0000</returnCode><returnMessage><![CDATA[此发票已经开具过]]></returnMessage></returnStateInfo><Data><dataDescription><zipCode>0</zipCode></dataDescription><content>PFJFU1BPTlNFPjxGUFFRTFNIPjAwMDAwMDkyODMxMDE8L0ZQUVFMU0g+PEZQX0RNPjA1MDAwMzUyMTEwNzwvRlBfRE0+PEZQX0hNPjM1Njg3MDYzPC9GUF9ITT48SllNPjE2NDAxODQ4NDgxMTc2NzUxMTEwPC9KWU0+PEtQUlE+MjAyMTAxMTEyMzEwMDU8L0tQUlE+PFBERl9VUkw+PCFbQ0RBVEFbaHR0cDovL2Rldi5mYXBpYW8uY29tOjE5MDgwL2R6ZnAtd2ViL3BkZi9kb3dubG9hZD9yZXF1ZXN0PWU1dWhmOFdFVElPTWdhYTJjQ1VNdHFING1nYTdhN1k2N0FReGppWk9PV1FNTnFTQkE0cUxtUHFvcFZzRDJDc3VOWkRGQm9VdjBvMF8lNUViR2VnSGNBSmJdXT48L1BERl9VUkw+PFNQX1VSTD48IVtDREFUQVtodHRwczovL3Rlc3R3eC5mYXBpYW8uY29tL2ZwdC13ZWNoYXQvd3hhZGRjYXJkLmRvP2NvZGU9JTJCYVVzJTJGaURkNGxaejJTRXNEdkolMkJiTWdNOHN5elVlek9HSlJUSHRzUUM2SmE2UjA2emY4N3Y4emFobTBoeTBsUWozR05pbGswNkdCSSUwQWdNU2R6bzROQkElM0QlM0RdXT48L1NQX1VSTD48L1JFU1BPTlNFPg==</content></Data></interface>
2021-03-01 14:21:18.008 [http-nio-2000-exec-5] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 获取的加密内容:PFJFU1BPTlNFPjxGUFFRTFNIPjAwMDAwMDkyODMxMDE8L0ZQUVFMU0g+PEZQX0RNPjA1MDAwMzUyMTEwNzwvRlBfRE0+PEZQX0hNPjM1Njg3MDYzPC9GUF9ITT48SllNPjE2NDAxODQ4NDgxMTc2NzUxMTEwPC9KWU0+PEtQUlE+MjAyMTAxMTEyMzEwMDU8L0tQUlE+PFBERl9VUkw+PCFbQ0RBVEFbaHR0cDovL2Rldi5mYXBpYW8uY29tOjE5MDgwL2R6ZnAtd2ViL3BkZi9kb3dubG9hZD9yZXF1ZXN0PWU1dWhmOFdFVElPTWdhYTJjQ1VNdHFING1nYTdhN1k2N0FReGppWk9PV1FNTnFTQkE0cUxtUHFvcFZzRDJDc3VOWkRGQm9VdjBvMF8lNUViR2VnSGNBSmJdXT48L1BERl9VUkw+PFNQX1VSTD48IVtDREFUQVtodHRwczovL3Rlc3R3eC5mYXBpYW8uY29tL2ZwdC13ZWNoYXQvd3hhZGRjYXJkLmRvP2NvZGU9JTJCYVVzJTJGaURkNGxaejJTRXNEdkolMkJiTWdNOHN5elVlek9HSlJUSHRzUUM2SmE2UjA2emY4N3Y4emFobTBoeTBsUWozR05pbGswNkdCSSUwQWdNU2R6bzROQkElM0QlM0RdXT48L1NQX1VSTD48L1JFU1BPTlNFPg==
2021-03-01 14:21:18.011 [http-nio-2000-exec-5] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 解析加密:<RESPONSE><FPQQLSH>0000009283101</FPQQLSH><FP_DM>050003521107</FP_DM><FP_HM>35687063</FP_HM><JYM>16401848481176751110</JYM><KPRQ>20210111231005</KPRQ><PDF_URL><![CDATA[http://dev.fapiao.com:19080/dzfp-web/pdf/download?request=e5uhf8WETIOMgaa2cCUMtqH4mga7a7Y67AQxjiZOOWQMNqSBA4qLmPqopVsD2CsuNZDFBoUv0o0_%5EbGegHcAJb]]></PDF_URL><SP_URL><![CDATA[https://testwx.fapiao.com/fpt-wechat/wxaddcard.do?code=%2BaUs%2FiDd4lZz2SEsDvJ%2BbMgM8syzUezOGJRTHtsQC6Ja6R06zf87v8zahm0hy0lQj3GNilk06GBI%0AgMSdzo4NBA%3D%3D]]></SP_URL></RESPONSE>
2021-03-01 14:21:18.013 [http-nio-2000-exec-5] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 红冲结果:InvoiceResult [data=null, code=null, success=true, msg=null, groupStatus=9, docNum=0000009283, groupNum=101, goldtaxCode=050003521107, goldtaxNum=35687063, billGdate=20210111231005, hjje=null, hjse=null, jshj=null, ePdfUrl=http://dev.fapiao.com:19080/dzfp-web/pdf/download?request=e5uhf8WETIOMgaa2cCUMtqH4mga7a7Y67AQxjiZOOWQMNqSBA4qLmPqopVsD2CsuNZDFBoUv0o0_%5EbGegHcAJb]
2021-03-01 14:27:52.125 [http-nio-2000-exec-9] INFO  top.anets.service.impl.InvoiceViewServiceImpl - 整单红冲:0000009285
2021-03-01 14:27:52.140 [http-nio-2000-exec-9] INFO  top.anets.utils.GuoXin - 请求xml内容:<REQUEST_COMMON_FPKSHC class="REQUEST_COMMON_FPKSHC"><FPQQLSH>0000009285101</FPQQLSH><XSF_MC>百旺电子测试2</XSF_MC><XSF_NSRSBH>110109500321655</XSF_NSRSBH><YFP_DM>050003521107</YFP_DM><YFP_HM>35687062</YFP_HM></REQUEST_COMMON_FPKSHC>
2021-03-01 14:27:52.141 [http-nio-2000-exec-9] INFO  top.anets.utils.GuoXin - 秘钥:5EE6C2C11DD421F2
2021-03-01 14:27:52.141 [http-nio-2000-exec-9] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 请求报文:<?xml version='1.0' encoding='UTF-8'?> <interface xmlns="" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:schemaLocation="http://www.chinatax.gov.cn/tirip/dataspec/interfaces.xsd" version="DZFPQZ0.2"> <globalInfo> <appId>6d29f136114544bcc73edcce960c430231183cc192c433e2b9ebcad56e8ceb08</appId> <interfaceId></interfaceId><interfaceCode>DFXJ1008</interfaceCode> <requestCode>DZFPQZ</requestCode> <requestTime>2021-03-01 14:27:52</requestTime> <responseCode>DS</responseCode> <dataExchangeId>DZFPQZDFXJ100820210301d9fa80f7-</dataExchangeId> </globalInfo> <returnStateInfo> <returnCode></returnCode> <returnMessage></returnMessage> </returnStateInfo> <Data><dataDescription> <zipCode>0</zipCode> </dataDescription> <content>PFJFUVVFU1RfQ09NTU9OX0ZQS1NIQyBjbGFzcz0iUkVRVUVTVF9DT01NT05fRlBLU0hDIj48RlBRUUxTSD4wMDAwMDA5Mjg1MTAxPC9GUFFRTFNIPjxYU0ZfTUM+55m+5pe655S15a2Q5rWL6K+VMjwvWFNGX01DPjxYU0ZfTlNSU0JIPjExMDEwOTUwMDMyMTY1NTwvWFNGX05TUlNCSD48WUZQX0RNPjA1MDAwMzUyMTEwNzwvWUZQX0RNPjxZRlBfSE0+MzU2ODcwNjI8L1lGUF9ITT48L1JFUVVFU1RfQ09NTU9OX0ZQS1NIQz4=</content> <contentKey>9VixsIsXQ6AN+WGHqa69h2c8ofYL7Hcn0WXe75B5eBhU4pYCt+SUydvtom101qqc</contentKey> </Data> </interface>
2021-03-01 14:27:52.141 [http-nio-2000-exec-9] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书地址-----:F:/zhys/zhengshu/testISSUE.pfx
2021-03-01 14:27:52.141 [http-nio-2000-exec-9] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书密码-----:123456
2021-03-01 14:27:52.141 [http-nio-2000-exec-9] INFO  top.anets.utils.guoXin.RequestUtils - http请求开始，请求地址：https://dev.fapiao.com:18944/fpt-dsqz/invoice
2021-03-01 14:27:54.451 [http-nio-2000-exec-9] INFO  top.anets.utils.guoXin.RequestUtils - 请求结果:<?xml version='1.0' encoding='UTF-8'?><interface xmlns="" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:schemaLocation="http://www.chinatax.gov.cn/tirip/dataspec/interfaces.xsd" version="DZFPQZ1.0"> <globalInfo><appId>0</appId><interfaceId></interfaceId><interfaceCode>DFXJ1008</interfaceCode><requestCode>DZFPQZ</requestCode><requestTime>2021-03-01 14:27:53:947</requestTime><responseCode>1</responseCode><dataExchangeId>DZFPQZDFXJ100820210301d9fa80f7-</dataExchangeId></globalInfo><returnStateInfo><returnCode>0000</returnCode><returnMessage><![CDATA[此发票已经开具过]]></returnMessage></returnStateInfo><Data><dataDescription><zipCode>0</zipCode></dataDescription><content>PFJFU1BPTlNFPjxGUFFRTFNIPjAwMDAwMDkyODUxMDE8L0ZQUVFMU0g+PEZQX0RNPjA1MDAwMzUyMTEwNzwvRlBfRE0+PEZQX0hNPjM1Njg3MDYyPC9GUF9ITT48SllNPjE2NjIyODk3NzE3ODQ0OTkwNTQyPC9KWU0+PEtQUlE+MjAyMTAxMTEyMzEwMDA8L0tQUlE+PFBERl9VUkw+PCFbQ0RBVEFbaHR0cDovL2Rldi5mYXBpYW8uY29tOjE5MDgwL2R6ZnAtd2ViL3BkZi9kb3dubG9hZD9yZXF1ZXN0PWU1dWhmOFdFVElPTWdhYTJjQ1VNdHFING1nYTdhN1k2YlJoT2t3TnJ3YmNNTnFTQkE0cUxtUHFvcFZzRDJDc3Vwa3pRNk44QTBIUV8lNUVjR0JoaGpKR2JoXV0+PC9QREZfVVJMPjxTUF9VUkw+PCFbQ0RBVEFbaHR0cHM6Ly90ZXN0d3guZmFwaWFvLmNvbS9mcHQtd2VjaGF0L3d4YWRkY2FyZC5kbz9jb2RlPSUyQmFVcyUyRmlEZDRsWnoyU0VzRHZKJTJCYkFCVyUyQmgzamlOdkdTRCUyRlBMcFJFWWdsazhEekJTdmNvT0dHYkE5c3RkMEtuajNHTmlsazA2R0JJJTBBZ01TZHpvNE5CQSUzRCUzRF1dPjwvU1BfVVJMPjwvUkVTUE9OU0U+</content></Data></interface>
2021-03-01 14:27:54.451 [http-nio-2000-exec-9] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 返回结果:<?xml version='1.0' encoding='UTF-8'?><interface xmlns="" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:schemaLocation="http://www.chinatax.gov.cn/tirip/dataspec/interfaces.xsd" version="DZFPQZ1.0"> <globalInfo><appId>0</appId><interfaceId></interfaceId><interfaceCode>DFXJ1008</interfaceCode><requestCode>DZFPQZ</requestCode><requestTime>2021-03-01 14:27:53:947</requestTime><responseCode>1</responseCode><dataExchangeId>DZFPQZDFXJ100820210301d9fa80f7-</dataExchangeId></globalInfo><returnStateInfo><returnCode>0000</returnCode><returnMessage><![CDATA[此发票已经开具过]]></returnMessage></returnStateInfo><Data><dataDescription><zipCode>0</zipCode></dataDescription><content>PFJFU1BPTlNFPjxGUFFRTFNIPjAwMDAwMDkyODUxMDE8L0ZQUVFMU0g+PEZQX0RNPjA1MDAwMzUyMTEwNzwvRlBfRE0+PEZQX0hNPjM1Njg3MDYyPC9GUF9ITT48SllNPjE2NjIyODk3NzE3ODQ0OTkwNTQyPC9KWU0+PEtQUlE+MjAyMTAxMTEyMzEwMDA8L0tQUlE+PFBERl9VUkw+PCFbQ0RBVEFbaHR0cDovL2Rldi5mYXBpYW8uY29tOjE5MDgwL2R6ZnAtd2ViL3BkZi9kb3dubG9hZD9yZXF1ZXN0PWU1dWhmOFdFVElPTWdhYTJjQ1VNdHFING1nYTdhN1k2YlJoT2t3TnJ3YmNNTnFTQkE0cUxtUHFvcFZzRDJDc3Vwa3pRNk44QTBIUV8lNUVjR0JoaGpKR2JoXV0+PC9QREZfVVJMPjxTUF9VUkw+PCFbQ0RBVEFbaHR0cHM6Ly90ZXN0d3guZmFwaWFvLmNvbS9mcHQtd2VjaGF0L3d4YWRkY2FyZC5kbz9jb2RlPSUyQmFVcyUyRmlEZDRsWnoyU0VzRHZKJTJCYkFCVyUyQmgzamlOdkdTRCUyRlBMcFJFWWdsazhEekJTdmNvT0dHYkE5c3RkMEtuajNHTmlsazA2R0JJJTBBZ01TZHpvNE5CQSUzRCUzRF1dPjwvU1BfVVJMPjwvUkVTUE9OU0U+</content></Data></interface>
2021-03-01 14:27:54.453 [http-nio-2000-exec-9] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 获取的加密内容:PFJFU1BPTlNFPjxGUFFRTFNIPjAwMDAwMDkyODUxMDE8L0ZQUVFMU0g+PEZQX0RNPjA1MDAwMzUyMTEwNzwvRlBfRE0+PEZQX0hNPjM1Njg3MDYyPC9GUF9ITT48SllNPjE2NjIyODk3NzE3ODQ0OTkwNTQyPC9KWU0+PEtQUlE+MjAyMTAxMTEyMzEwMDA8L0tQUlE+PFBERl9VUkw+PCFbQ0RBVEFbaHR0cDovL2Rldi5mYXBpYW8uY29tOjE5MDgwL2R6ZnAtd2ViL3BkZi9kb3dubG9hZD9yZXF1ZXN0PWU1dWhmOFdFVElPTWdhYTJjQ1VNdHFING1nYTdhN1k2YlJoT2t3TnJ3YmNNTnFTQkE0cUxtUHFvcFZzRDJDc3Vwa3pRNk44QTBIUV8lNUVjR0JoaGpKR2JoXV0+PC9QREZfVVJMPjxTUF9VUkw+PCFbQ0RBVEFbaHR0cHM6Ly90ZXN0d3guZmFwaWFvLmNvbS9mcHQtd2VjaGF0L3d4YWRkY2FyZC5kbz9jb2RlPSUyQmFVcyUyRmlEZDRsWnoyU0VzRHZKJTJCYkFCVyUyQmgzamlOdkdTRCUyRlBMcFJFWWdsazhEekJTdmNvT0dHYkE5c3RkMEtuajNHTmlsazA2R0JJJTBBZ01TZHpvNE5CQSUzRCUzRF1dPjwvU1BfVVJMPjwvUkVTUE9OU0U+
2021-03-01 14:27:54.454 [http-nio-2000-exec-9] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 解析加密:<RESPONSE><FPQQLSH>0000009285101</FPQQLSH><FP_DM>050003521107</FP_DM><FP_HM>35687062</FP_HM><JYM>16622897717844990542</JYM><KPRQ>20210111231000</KPRQ><PDF_URL><![CDATA[http://dev.fapiao.com:19080/dzfp-web/pdf/download?request=e5uhf8WETIOMgaa2cCUMtqH4mga7a7Y6bRhOkwNrwbcMNqSBA4qLmPqopVsD2CsupkzQ6N8A0HQ_%5EcGBhhjJGbh]]></PDF_URL><SP_URL><![CDATA[https://testwx.fapiao.com/fpt-wechat/wxaddcard.do?code=%2BaUs%2FiDd4lZz2SEsDvJ%2BbABW%2Bh3jiNvGSD%2FPLpREYglk8DzBSvcoOGGbA9std0Knj3GNilk06GBI%0AgMSdzo4NBA%3D%3D]]></SP_URL></RESPONSE>
2021-03-01 14:27:54.455 [http-nio-2000-exec-9] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 红冲结果:InvoiceResult [data=null, code=null, success=true, msg=null, groupStatus=9, docNum=0000009285, groupNum=101, goldtaxCode=050003521107, goldtaxNum=35687062, billGdate=20210111231000, hjje=null, hjse=null, jshj=null, ePdfUrl=http://dev.fapiao.com:19080/dzfp-web/pdf/download?request=e5uhf8WETIOMgaa2cCUMtqH4mga7a7Y6bRhOkwNrwbcMNqSBA4qLmPqopVsD2CsupkzQ6N8A0HQ_%5EcGBhhjJGbh]
2021-03-01 14:30:39.270 [http-nio-2000-exec-5] INFO  top.anets.service.impl.InvoiceViewServiceImpl - 整单红冲:0000000144
2021-03-01 14:30:39.351 [http-nio-2000-exec-5] INFO  top.anets.utils.GuoXin - 请求xml内容:<REQUEST_COMMON_FPKSHC class="REQUEST_COMMON_FPKSHC"><FPQQLSH>0000000144101</FPQQLSH><XSF_MC>百旺电子测试2</XSF_MC><XSF_NSRSBH>110109500321655</XSF_NSRSBH><YFP_DM>050003521107</YFP_DM><YFP_HM>35696120</YFP_HM></REQUEST_COMMON_FPKSHC>
2021-03-01 14:30:39.352 [http-nio-2000-exec-5] INFO  top.anets.utils.GuoXin - 秘钥:5EE6C2C11DD421F2
2021-03-01 14:30:39.352 [http-nio-2000-exec-5] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 请求报文:<?xml version='1.0' encoding='UTF-8'?> <interface xmlns="" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:schemaLocation="http://www.chinatax.gov.cn/tirip/dataspec/interfaces.xsd" version="DZFPQZ0.2"> <globalInfo> <appId>6d29f136114544bcc73edcce960c430231183cc192c433e2b9ebcad56e8ceb08</appId> <interfaceId></interfaceId><interfaceCode>DFXJ1008</interfaceCode> <requestCode>DZFPQZ</requestCode> <requestTime>2021-03-01 14:30:39</requestTime> <responseCode>DS</responseCode> <dataExchangeId>DZFPQZDFXJ1008202103017ae1d5af-</dataExchangeId> </globalInfo> <returnStateInfo> <returnCode></returnCode> <returnMessage></returnMessage> </returnStateInfo> <Data><dataDescription> <zipCode>0</zipCode> </dataDescription> <content>PFJFUVVFU1RfQ09NTU9OX0ZQS1NIQyBjbGFzcz0iUkVRVUVTVF9DT01NT05fRlBLU0hDIj48RlBRUUxTSD4wMDAwMDAwMTQ0MTAxPC9GUFFRTFNIPjxYU0ZfTUM+55m+5pe655S15a2Q5rWL6K+VMjwvWFNGX01DPjxYU0ZfTlNSU0JIPjExMDEwOTUwMDMyMTY1NTwvWFNGX05TUlNCSD48WUZQX0RNPjA1MDAwMzUyMTEwNzwvWUZQX0RNPjxZRlBfSE0+MzU2OTYxMjA8L1lGUF9ITT48L1JFUVVFU1RfQ09NTU9OX0ZQS1NIQz4=</content> <contentKey>gWKiOqa22mVzLfeZ5aKrtZRvZasxWUxMMnmEl51aIuxU4pYCt+SUydvtom101qqc</contentKey> </Data> </interface>
2021-03-01 14:30:39.352 [http-nio-2000-exec-5] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书地址-----:F:/zhys/zhengshu/testISSUE.pfx
2021-03-01 14:30:39.352 [http-nio-2000-exec-5] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书密码-----:123456
2021-03-01 14:30:39.352 [http-nio-2000-exec-5] INFO  top.anets.utils.guoXin.RequestUtils - http请求开始，请求地址：https://dev.fapiao.com:18944/fpt-dsqz/invoice
